ts,id,x,y,x_min,x_max,y_min,y_max
"2013-11-03 18:01:14.000000","12","74.59","71.04","21.84","52.79","12.72","67.27"
"2013-11-03 18:01:14.000000","13","22.25","16.44","21.84","52.79","12.72","67.27"
"2013-11-03 18:01:14.000000","14","27.96","18.11","21.84","52.79","12.72","67.27"
"2013-11-03 18:01:14.000000","15","51.61","25.33","21.84","52.79","12.72","67.27"
"2013-11-03 18:01:15.000000","1","52.79","45.11","21.33","52.86","12.72","67.27"
"2013-11-03 18:01:15.000000","2","25.22","30.38","21.33","52.86","12.72","67.27"
"2013-11-03 18:01:15.000000","5","35.8","29.52","21.33","52.86","12.72","67.27"
"2013-11-03 18:01:15.000000","6","45.39","67.27","21.33","52.86","12.72","67.27"
"2013-11-03 18:01:15.000000","7","41.9","38.63","21.33","52.86","12.72","67.27"
"2013-11-03 18:01:15.000000","8","28.44","38.7","21.33","52.86","12.72","67.27"
"2013-11-03 18:01:15.000000","9","32.25","12.72","21.33","52.86","12.72","67.27"
"2013-11-03 18:01:15.000000","10","44.9","15.45","21.33","52.86","12.72","67.27"
"2013-11-03 18:01:15.000000","12","74.59","71.04","21.33","52.86","12.72","67.27"
"2013-11-03 18:01:15.000000","13","21.57","17.11","21.33","52.86","12.72","67.27"
"2013-11-03 18:01:15.000000","14","27.96","18.11","21.33","52.86","12.72","67.27"
"2013-11-03 18:01:15.000000","15","51.91","25.63","21.33","52.86","12.72","67.27"
"2013-11-03 18:01:16.000000","1","52.45","45.1","21.26","52.85","12.72","67.27"
"2013-11-03 18:01:16.000000","2","24.73","30.04","21.26","52.85","12.72","67.27"
"2013-11-03 18:01:16.000000","5","36.54","28.93","21.26","52.85","12.72","67.27"
"2013-11-03 18:01:16.000000","6","45.39","67.27","21.26","52.85","12.72","67.27"
"2013-11-03 18:01:16.000000","7","41.65","39.16","21.26","52.85","12.72","67.27"
"2013-11-03 18:01:16.000000","8","27.82","39.05","21.26","52.85","12.72","67.27"
"2013-11-03 18:01:16.000000","9","32.25","12.72","21.26","52.85","12.72","67.27"
"2013-11-03 18:01:16.000000","10","44.63","14.75","21.26","52.85","12.72","67.27"
"2013-11-03 18:01:16.000000","12","74.59","71.04","21.26","52.85","12.72","67.27"
"2013-11-03 18:01:16.000000","13","21.48","16.95","21.26","52.85","12.72","67.27"
"2013-11-03 18:01:16.000000","14","27.96","18.11","21.26","52.85","12.72","67.27"
"2013-11-03 18:01:16.000000","15","51.66","25.44","21.26","52.85","12.72","67.27"
"2013-11-03 18:01:17.000000","1","52.13","44.96","22.21","52.16","12.72","67.27"
"2013-11-03 18:01:17.000000","2","24.41","29.35","22.21","52.16","12.72","67.27"
"2013-11-03 18:01:17.000000","5","37.06","29.21","22.21","52.16","12.72","67.27"
"2013-11-03 18:01:17.000000","6","45.39","67.27","22.21","52.16","12.72","67.27"
"2013-11-03 18:01:17.000000","7","41.5","38.13","22.21","52.16","12.72","67.27"
"2013-11-03 18:01:17.000000","8","27.61","39.72","22.21","52.16","12.72","67.27"
"2013-11-03 18:01:17.000000","9","32.25","12.72","22.21","52.16","12.72","67.27"
"2013-11-03 18:01:17.000000","10","44.13","14.84","22.21","52.16","12.72","67.27"
"2013-11-03 18:01:17.000000","11","39.44","69.14","22.21","52.16","12.72","67.27"
"2013-11-03 18:01:17.000000","12","74.59","71.04","22.21","52.16","12.72","67.27"
"2013-11-03 18:01:17.000000","13","23.05","17.58","22.21","52.16","12.72","67.27"
"2013-11-03 18:01:17.000000","14","27.96","18.11","22.21","52.16","12.72","67.27"
"2013-11-03 18:01:17.000000","15","51.47","24.74","22.21","52.16","12.72","67.27"
"2013-11-03 18:01:18.000000","1","52.87","44.43","21.16","53.96","12.54","67.27"
"2013-11-03 18:01:18.000000","2","24.61","28.98","21.16","53.96","12.54","67.27"
"2013-11-03 18:01:18.000000","5","37.44","29.13","21.16","53.96","12.54","67.27"
"2013-11-03 18:01:18.000000","6","45.39","67.27","21.16","53.96","12.54","67.27"
"2013-11-03 18:01:18.000000","7","41.84","36.65","21.16","53.96","12.54","67.27"
"2013-11-03 18:01:18.000000","8","27.29","40.7","21.16","53.96","12.54","67.27"
"2013-11-03 18:01:18.000000","9","32.28","12.71","21.16","53.96","12.54","67.27"
"2013-11-03 18:01:18.000000","10","43.46","14.96","21.16","53.96","12.54","67.27"
"2013-11-03 18:01:18.000000","11","39.44","69.14","21.16","53.96","12.54","67.27"
"2013-11-03 18:01:18.000000","12","74.59","71.04","21.16","53.96","12.54","67.27"
"2013-11-03 18:01:18.000000","13","22.14","17.64","21.16","53.96","12.54","67.27"
"2013-11-03 18:01:18.000000","14","27.96","18.11","21.16","53.96","12.54","67.27"
"2013-11-03 18:01:18.000000","15","52.15","24.25","21.16","53.96","12.54","67.27"
"2013-11-03 18:01:19.000000","1","55.83","42.98","21","57.79","12.24","67.27"
"2013-11-03 18:01:19.000000","2","24.98","28.51","21","57.79","12.24","67.27"
"2013-11-03 18:01:19.000000","5","38.12","29.47","21","57.79","12.24","67.27"
"2013-11-03 18:01:19.000000","6","45.39","67.27","21","57.79","12.24","67.27"
"2013-11-03 18:01:19.000000","7","41.93","39.32","21","57.79","12.24","67.27"
"2013-11-03 18:01:19.000000","8","27.22","40.49","21","57.79","12.24","67.27"
"2013-11-03 18:01:19.000000","9","32.9","12.42","21","57.79","12.24","67.27"
"2013-11-03 18:01:19.000000","10","43.82","14.63","21","57.79","12.24","67.27"
"2013-11-03 18:01:19.000000","11","39.44","69.14","21","57.79","12.24","67.27"
"2013-11-03 18:01:19.000000","12","74.59","71.04","21","57.79","12.24","67.27"
"2013-11-03 18:01:19.000000","13","21.22","17.31","21","57.79","12.24","67.27"
"2013-11-03 18:01:19.000000","14","27.84","17.97","21","57.79","12.24","67.27"
"2013-11-03 18:01:19.000000","15","54.88","26.11","21","57.79","12.24","67.27"
"2013-11-03 18:01:20.000000","1","60.01","40.4","21.83","61.94","11.83","67.27"
"2013-11-03 18:01:20.000000","2","25.2","28.49","21.83","61.94","11.83","67.27"
"2013-11-03 18:01:20.000000","5","38.66","30.68","21.83","61.94","11.83","67.27"
"2013-11-03 18:01:20.000000","6","45.39","67.27","21.83","61.94","11.83","67.27"
"2013-11-03 18:01:20.000000","7","41.96","38.03","21.83","61.94","11.83","67.27"
"2013-11-03 18:01:20.000000","8","27.33","39.96","21.83","61.94","11.83","67.27"
"2013-11-03 18:01:20.000000","9","32.23","11.98","21.83","61.94","11.83","67.27"
"2013-11-03 18:01:20.000000","10","43.59","13.93","21.83","61.94","11.83","67.27"
"2013-11-03 18:01:20.000000","11","39.44","69.14","21.83","61.94","11.83","67.27"
