id,time,energy
Player 1 11/03/13,0,1107.966247
Player 1 11/03/13,5,743.8890033
Player 1 11/03/13,10,517.0377827
Player 1 11/03/13,15,871.3951686
Player 1 11/03/13,20,779.0750201
Player 1 11/03/13,25,545.669778
Player 1 11/03/13,30,744.2017046
Player 1 11/03/13,35,512.1766255
Player 1 11/03/13,45,0
Player 1 11/03/13,50,0
Player 1 11/03/13,55,0
Player 1 11/03/13,60,0
Player 1 11/03/13,65,0
Player 1 11/03/13,70,0
Player 1 11/03/13,75,0
Player 1 11/03/13,80,0
Player 1 11/03/13,85,0
Player 1 11/03/13,90,0
Player 1 11/07/13,0,0.0002
Player 1 11/07/13,45,0.0002
Player 1 11/07/13,50,0.00078
Player 1 11/07/13,55,0.00032
Player 1 11/07/13,65,0.00128
Player 1 11/07/13,70,0.0005
Player 1 11/07/13,75,0.00015
Player 1 11/07/13,85,0.00167
Player 1 11/07/13,90,7E-05
Player 10 11/03/13,0,1229.950555
Player 10 11/03/13,5,942.3967969
Player 10 11/03/13,10,878.5544166
Player 10 11/03/13,15,893.9372586
Player 10 11/03/13,20,884.258432
Player 10 11/03/13,25,825.1684702
Player 10 11/03/13,30,815.1515298
Player 10 11/03/13,35,1059.060132
Player 10 11/03/13,40,955.9748699
Player 10 11/03/13,45,1291.766484
Player 10 11/03/13,50,899.132807
Player 10 11/03/13,55,649.5021368
Player 10 11/03/13,60,1276.182798
Player 10 11/03/13,65,749.3
Player 10 11/03/13,70,1091.965007
Player 10 11/03/13,75,250.6349929
Player 10 11/03/13,85,5.1
Player 10 11/03/13,90,0.5
Player 10 11/07/13,0,946.7210115
Player 10 11/07/13,10,1880.277553
Player 10 11/07/13,15,893.1014432
Player 10 11/07/13,20,764.9395974
Player 10 11/07/13,30,2156.086562
Player 10 11/07/13,35,884.8842423
Player 10 11/07/13,40,998.6321352
Player 10 11/07/13,45,771.0697586
Player 10 11/07/13,50,964.7455008
Player 10 11/07/13,55,403.9701154
Player 10 11/07/13,65,1927.070093
Player 10 11/07/13,70,748.8096384
Player 10 11/07/13,75,168.1
Player 10 11/07/13,85,2105.9
Player 10 11/07/13,90,141.2671714
Player 11 11/03/13,0,0.084373852
Player 11 11/03/13,5,0.161456292
Player 11 11/03/13,10,0.113692986
Player 11 11/03/13,15,0.061050722
Player 11 11/03/13,20,0.1907
Player 11 11/03/13,25,0.057622122
Player 11 11/03/13,30,390.4259774
Player 11 11/03/13,35,513.4669395
Player 11 11/03/13,40,0.686677355
Player 11 11/03/13,45,0.109583614
Player 11 11/03/13,50,0.1
Player 11 11/03/13,55,466.9852874
Player 11 11/03/13,60,128.4447126
Player 11 11/03/13,65,0.47
Player 11 11/03/13,70,441.81
Player 11 11/03/13,75,829.11
Player 11 11/03/13,80,0.4
Player 11 11/03/13,85,0.75
Player 11 11/03/13,90,0.27
Player 11 11/07/13,0,949.2052319
Player 11 11/07/13,10,1993.66887
Player 11 11/07/13,15,991.9700258
Player 11 11/07/13,20,701.7364865
Player 11 11/07/13,30,2050.349686
Player 11 11/07/13,35,970.7876561
Player 11 11/07/13,40,747.9876696
Player 11 11/07/13,45,852.6051645
Player 11 11/07/13,50,648.7897008
Player 11 11/07/13,55,327.8464867
Player 11 11/07/13,65,2019.216857
Player 11 11/07/13,70,824.8312244
Player 11 11/07/13,75,188.1961236
Player 11 11/07/13,85,1673.009309
Player 11 11/07/13,90,82.5
Player 12 11/03/13,0,0.00096
Player 12 11/03/13,5,0.00111
Player 12 11/03/13,10,0.00149
Player 12 11/03/13,15,0.00123
Player 12 11/03/13,20,0.00105
Player 12 11/03/13,25,0.00094
Player 12 11/03/13,30,0.00064
Player 12 11/03/13,35,0.00056
Player 12 11/03/13,40,0.00018
Player 12 11/03/13,45,0.00073
Player 12 11/03/13,50,0.00094
Player 12 11/03/13,55,0.00113
Player 12 11/03/13,60,0.00091
Player 12 11/03/13,65,0.00071
Player 12 11/03/13,70,0.00085
Player 12 11/03/13,75,0.00092
Player 12 11/03/13,80,0.00101
Player 12 11/03/13,85,0.0008
Player 12 11/03/13,90,0.00027
Player 12 11/07/13,0,831.4828765
Player 12 11/07/13,10,1497.720512
Player 12 11/07/13,15,735.7680899
Player 12 11/07/13,20,503.3022541
Player 12 11/07/13,30,1633.542231
Player 12 11/07/13,35,644.3836549
Player 12 11/07/13,40,708.0164445
Player 12 11/07/13,45,692.3959936
Player 12 11/07/13,50,696.076575
Player 12 11/07/13,55,296.8011553
Player 12 11/07/13,65,1536.347762
Player 12 11/07/13,70,570.9884241
Player 12 11/07/13,75,180.6774055
Player 12 11/07/13,85,1912.3
Player 12 11/07/13,90,88.98912818
Player 13 11/03/13,0,943.0658345
Player 13 11/03/13,5,726.9252724
Player 13 11/03/13,10,704.2598075
Player 13 11/03/13,15,680.7608227
Player 13 11/03/13,20,808.6545511
Player 13 11/03/13,25,923.1077499
Player 13 11/03/13,30,820.7471053
Player 13 11/03/13,35,890.3934853
Player 13 11/03/13,40,777.0276855
Player 13 11/03/13,45,1094.873245
Player 13 11/03/13,50,704.9796097
