id,time,energy
Player 7 11/03/17,5,227.7833315
Player 7 11/03/17,10,198.2725503
Player 7 11/03/17,15,243.3866961
Player 7 11/03/17,20,170.3385261
Player 7 11/03/17,25,125.4167525
Player 7 11/03/17,30,203.4556566
Player 7 11/03/17,35,298.7840455
Player 7 11/03/17,40,212.6823121
Player 7 11/03/17,45,335.9756761
Player 7 11/03/17,50,187.5173562
Player 7 11/03/17,55,153.0020899
Player 7 11/03/17,60,229.7109349
Player 7 11/03/17,65,20.75992607
Player 7 11/03/17,70,0.139962987
Player 7 11/03/17,90,2.257640353
Player 8 11/03/17,0,396.4008778
Player 8 11/03/17,5,191.9932459
Player 8 11/03/17,10,179.7596966
Player 8 11/03/17,15,211.5026289
Player 8 11/03/17,20,230.1903195
Player 8 11/03/17,25,246.0566992
Player 8 11/03/17,30,138.070167
Player 8 11/03/17,35,336.9020385
Player 8 11/03/17,40,258.2974594
Player 8 11/03/17,45,364.3264356
Player 8 11/03/17,50,235.0254457
Player 8 11/03/17,55,112.0844205
Player 8 11/03/17,60,230.9024971
Player 8 11/03/17,65,254.7065749
Player 8 11/03/17,70,343.6418987
Player 8 11/03/17,75,198.2573733
Player 8 11/03/17,80,311.1513239
Player 8 11/03/17,85,232.1978775
Player 9 11/03/17,0,395.165131
Player 9 11/03/17,5,182.158869
Player 9 11/03/17,10,202.3205194
Player 9 11/03/17,15,218.0836075
Player 9 11/03/17,20,210.942418
Player 9 11/03/17,25,203.9852205
Player 9 11/03/17,30,160.4301588
Player 9 11/03/17,35,283.4376492
Player 9 11/03/17,40,220.8849293
Player 9 11/03/17,45,368.1698435
Player 9 11/03/17,50,259.8987959
Player 9 11/03/17,55,123.0245061
Player 9 11/03/17,60,204.2442755
Player 9 11/03/17,65,208.8799254
Player 9 11/03/17,70,214.6767925
Player 9 11/03/17,75,101.2951813
Player 9 11/03/17,80,355.618287
Player 9 11/03/17,85,255.5269174
Player 9 11/03/17,90,231.0549647
Player 2 11/07/17,0,258.2929202
Player 2 11/07/17,10,189.0333466
Player 2 11/07/17,15,205.9717462
Player 2 11/07/17,20,150.9395169
Player 2 11/07/17,30,6.080840662
Player 2 11/07/17,35,153.441335
Player 2 11/07/17,40,224.8556941
Player 2 11/07/17,45,171.1960202
Player 2 11/07/17,50,179.8830258
Player 2 11/07/17,55,105.8776917
Player 2 11/07/17,65,148.9351225
Player 2 11/07/17,70,172.234437
Player 2 11/07/17,75,35.45811799
Player 2 11/07/17,85,300.8763819
Player 2 11/07/17,90,130.2343693
Player 6 11/07/17,0,319.8900221
Player 6 11/07/17,10,195.4025268
Player 6 11/07/17,15,266.5960577
Player 6 11/07/17,20,153.0319033
Player 6 11/07/17,30,11.41808787
Player 6 11/07/17,35,284.7039199
Player 6 11/07/17,40,172.431185
Player 6 11/07/17,45,200.2818278
Player 6 11/07/17,50,163.2654948
Player 6 11/07/17,55,104.3126583
Player 6 11/07/17,65,133.8345953
Player 6 11/07/17,70,241.8652725
Player 6 11/07/17,75,61.44907369
Player 6 11/07/17,85,273.9239609
Player 6 11/07/17,90,156.477184
Player 7 11/07/17,0,238.3832715
Player 7 11/07/17,10,212.1100476
Player 7 11/07/17,15,178.9401994
Player 7 11/07/17,20,200.4865428
Player 7 11/07/17,30,12.96003872
Player 7 11/07/17,35,318.177984
Player 7 11/07/17,40,212.1427076
Player 7 11/07/17,45,163.0082865
Player 7 11/07/17,50,152.3395929
Player 7 11/07/17,55,97.08259919
Player 8 11/07/17,0,413.0164529
Player 8 11/07/17,10,1147.591183
Player 8 11/07/17,15,366.5261769
Player 8 11/07/17,20,224.2588792
Player 8 11/07/17,30,47.24749768
Player 8 11/07/17,35,260.3224356
Player 8 11/07/17,40,302.8382246
Player 8 11/07/17,45,208.1913824
Player 8 11/07/17,50,238.701609
Player 8 11/07/17,55,110.8662012
Player 8 11/07/17,65,159.8022517
Player 8 11/07/17,70,284.3288649
Player 8 11/07/17,75,69.71652038
Player 10 11/07/17,0,326.5644233
Player 10 11/07/17,10,299.5350547
Player 10 11/07/17,15,282.7093556
Player 10 11/07/17,20,267.6308005
Player 10 11/07/17,30,21.00745919
Player 10 11/07/17,35,270.3650666
Player 10 11/07/17,40,314.1329476
Player 10 11/07/17,45,229.674045
Player 10 11/07/17,50,345.4656247
Player 10 11/07/17,55,150.1113452
Player 10 11/07/17,65,1487.833737
Player 10 11/07/17,70,206.5915537
Player 10 11/07/17,75,51.4344645
Player 10 11/07/17,85,265.5451824
Player 10 11/07/17,90,263.5228423
Player 11 11/07/17,0,365.5937497
Player 11 11/07/17,10,317.7427343
Player 11 11/07/17,15,352.5893413
Player 11 11/07/17,20,271.0198051
Player 11 11/07/17,30,34.56458426
Player 11 11/07/17,35,391.9903876
Player 11 11/07/17,40,318.6701632
Player 11 11/07/17,45,240.8513626
Player 11 11/07/17,50,176.8805912
Player 11 11/07/17,55,115.1622786
Player 11 11/07/17,65,196.7913406
Player 11 11/07/17,70,259.4130887
Player 11 11/07/17,75,35.69813873
Player 11 11/07/17,85,221.7681755
Player 11 11/07/17,90,169.2749858
Player 12 11/07/17,0,251.596666
Player 12 11/07/17,10,179.3676003
Player 12 11/07/17,15,158.216229
Player 12 11/07/17,20,121.830099
Player 12 11/07/17,30,6.598302871
Player 12 11/07/17,35,175.4776888
Player 12 11/07/17,40,245.1330696
Player 12 11/07/17,45,233.4346248
Player 12 11/07/17,50,184.9905299
Player 12 11/07/17,55,95.8642051
Player 12 11/07/17,65,1207.9212
Player 12 11/07/17,70,174.2794727
Player 12 11/07/17,75,49.99237958
Player 12 11/07/17,85,324.3276207
Player 12 11/07/17,90,182.8822527
Player 13 11/07/17,0,268.6556953
Player 13 11/07/17,10,253.7998006
Player 13 11/07/17,15,311.2564714
Player 13 11/07/17,20,212.1380274
Player 13 11/07/17,30,5.539893492
Player 13 11/07/17,35,274.8237837
Player 13 11/07/17,40,208.0106279
Player 13 11/07/17,45,198.5999387
Player 13 11/07/17,50,218.6482534
Player 13 11/07/17,55,192.4509144
Player 13 11/07/17,65,164.716699
Player 13 11/07/17,70,238.8358863
Player 13 11/07/17,75,52.57348736
Player 13 11/07/17,85,235.4389234
Player 13 11/07/17,90,160.2825559
Player 15 11/07/17,0,359.9686929
Player 15 11/07/17,10,272.5699517
Player 15 11/07/17,15,247.2006227
Player 15 11/07/17,20,213.010198
Player 15 11/07/17,30,12.5414704
Player 15 11/07/17,35,229.7135962
Player 15 11/07/17,40,269.9616964
Player 15 11/07/17,45,210.0313589
Player 15 11/07/17,50,265.351102
