id,time,energy
Player 1 11/03/17,0,400.9991401
Player 1 11/03/17,5,319.5840143
Player 1 11/03/17,10,260.4524635
Player 1 11/03/17,15,392.3930317
Player 1 11/03/17,20,344.8032531
Player 1 11/03/17,25,249.8786744
Player 1 11/03/17,30,234.2786925
Player 1 11/03/17,35,244.7269276
Player 1 11/03/17,45,0
Player 1 11/03/17,50,0
Player 1 11/03/17,55,0
Player 1 11/03/17,60,0
Player 1 11/03/17,65,0
Player 1 11/03/17,70,0
Player 1 11/03/17,75,0
Player 1 11/03/17,80,0
Player 1 11/03/17,85,0
Player 1 11/03/17,90,0
Player 10 11/03/17,0,592.2606825
Player 10 11/03/17,5,490.7329852
Player 10 11/03/17,10,467.7806083
Player 10 11/03/17,15,498.4081742
Player 10 11/03/17,20,456.2360768
Player 10 11/03/17,25,466.9040473
Player 10 11/03/17,30,442.3543428
Player 10 11/03/17,35,494.0357221
Player 10 11/03/17,40,4.46E+02
Player 10 11/03/17,45,613.8200259
Player 10 11/03/17,50,476.5345963
Player 10 11/03/17,55,366.768803
Player 10 11/03/17,60,792.8757335
Player 10 11/03/17,65,335.2186276
Player 10 11/03/17,70,563.1693405
Player 10 11/03/17,75,186.0330937
Player 10 11/03/17,85,5.1
Player 10 11/03/17,90,0.6
Player 11 11/03/17,0,0.084373852
Player 11 11/03/17,5,0.161456292
Player 11 11/03/17,10,0.113692986
Player 11 11/03/17,15,0.061050722
Player 11 11/03/17,20,0.1907
Player 11 11/03/17,25,0.057622122
Player 11 11/03/17,30,312.1967479
Player 11 11/03/17,35,405.7068362
Player 11 11/03/17,40,0.594266244
Player 11 11/03/17,45,0.109583614
Player 11 11/03/17,50,0.1
Player 11 11/03/17,55,359.4436016
Player 11 11/03/17,60,101.4396768
Player 11 11/03/17,65,0.47
Player 11 11/03/17,70,277.423859
Player 11 11/03/17,75,742.7402421
Player 11 11/03/17,80,0.4
Player 11 11/03/17,85,0.75
Player 11 11/03/17,90,1.470002165
Player 12 11/03/17,0,0.00096
Player 12 11/03/17,5,0.00111
Player 12 11/03/17,10,0.00149
Player 12 11/03/17,15,0.00123
Player 12 11/03/17,20,0.00105
Player 12 11/03/17,25,0.00094
Player 12 11/03/17,30,0.00064
Player 12 11/03/17,35,0.00056
Player 12 11/03/17,40,0.00018
Player 12 11/03/17,45,0.00073
Player 12 11/03/17,50,0.00094
Player 12 11/03/17,55,0.00113
Player 12 11/03/17,60,0.00091
Player 12 11/03/17,65,0.00071
Player 12 11/03/17,70,0.00085
Player 12 11/03/17,75,0.00092
Player 12 11/03/17,80,0.00101
Player 12 11/03/17,85,0.0008
