Category,Team-110313-18,1-110313-18,2-110313-18,5-110313-18,6-110313-18,7-110313-18,8-110313-18,9-110313-18,10-110313-18,11-110313-18,13-110313-18,14-110313-18,15-110313-18,Team-110313-0,1-110313-0,2-110313-0,5-110313-0,6-110313-0,7-110313-0,8-110313-0,9-110313-0,10-110313-10,11-110313-0,13-110313-0,14-110313-10,15-110313-0,Team-110313-6,1-110313-6,2-110313-6,5-110313-6,6-110313-6,7-110313-6,8-110313-6,9-110313-6,10-110313-6,11-110313-6,13-110313-6,14-110313-6,15-110313-6,Team-110313-12,1-110313-12,2-110313-12,5-110313-12,6-110313-12,7-110313-12,8-110313-12,9-110313-12,10-110313-12,11-110313-12,13-110313-12,14-110313-12,15-110313-12,Team-110713-18,2-110713-18,6-110713-18,7-110713-18,8-110713-18,10-110713-18,11-110713-18,12-110713-18,13-110713-18,15-110713-18,16-110713-18,Team-110713-0,2-110713-0,6-110713-0,7-110713-0,8-110713-0,10-110713-10,11-110713-0,12-110713-0,13-110713-0,15-110713-0,16-110713-0,Team-110713-6,2-110713-6,6-110713-6,7-110713-6,8-110713-6,10-110713-6,11-110713-6,12-110713-6,13-110713-6,15-110713-6,16-110713-6,Team-110713-12,2-110713-12,6-110713-12,7-110713-12,8-110713-12,10-110713-12,11-110713-12,12-110713-12,13-110713-12,15-110713-12,16-110713-12
Dist in km,118.32,5.68,11.16,12.55,6.74,8.97,11.43,11.76,11.17,1.59,11.88,13,12.32,62.38,2.25,6.91,6.74,3.04,4.52,6.4,6.3,5.08,1.11,7.01,6.38,6.61,41.76,2.32,3.51,4.55,2.53,3.23,3.62,4.13,4.35,0.43,3.91,4.95,4.23,14.18,1.11,0.74,1.27,1.17,1.22,1.4,1.33,1.74,0.06,0.97,1.67,1.48,111.21,11.24,13.33,7.81,10.73,12.76,12.62,11.11,13.01,8.71,9.8,73.44,8.22,8.86,5.33,0.33,7.69,8.7,7.42,8.78,4.97,7.08,27.99,2.33,3.07,1.74,3.46,4.15,2.82,3.21,3.07,2.13,2.01,9.78,0.69,1.39,0.75,0.94,0.92,1.11,0.48,1.16,1.61,0.71
Max Speed in m/s,11.31,10.32,9.77,8.59,8.55,10.56,9.26,10.21,11.31,6.89,11.07,8.86,9.37,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,4.99,5,5,5,11.31,10.32,9.77,8.59,8.55,10.56,9.26,10.21,11.31,6.89,11.07,8.86,9.37,12.96,12.96,9.27,9.11,9.15,7.71,10.64,9.04,9.37,6.74,9.16,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,12.96,12.96,9.27,9.11,9.15,7.71,10.64,9.04,9.37,6.74,9.16
Avg Speed in m/s,1.86,2.54,1.94,2.19,1.99,2.13,2.11,2.07,2.37,1.22,2.07,2.26,2.15,1.24,1.55,1.48,1.56,1.2,1.44,1.51,1.45,1.55,0.94,1.55,1.53,1.52,3.77,3.86,3.7,3.78,3.79,3.77,3.75,3.77,3.83,3.63,3.74,3.81,3.74,5.92,6.03,5.75,5.73,5.95,5.97,6.11,5.96,5.93,5.61,5.83,5.78,6.02,2.08,1.99,2.36,1.86,2.22,2.28,2.23,1.97,2.3,2.19,1.73,1.44,1.45,1.58,0.22,1.5,1.6,1.54,1.5,1.57,1.54,1.2,3.78,3.79,3.81,3.79,3.78,3.82,3.77,3.7,3.8,3.81,3.77,5.87,5.98,6.06,6.12,5.98,5.65,5.91,5.85,5.99,5.48,5.96
