id,time,energy
Player 1 11/03/17,0,209.335107
Player 1 11/03/17,5,134.0970199
Player 1 11/03/17,10,56.02390602
Player 1 11/03/17,15,178.9185441
Player 1 11/03/17,20,91.26205539
Player 1 11/03/17,25,110.9933339
Player 1 11/03/17,30,201.4743862
Player 1 11/03/17,35,48.43909656
Player 10 11/03/17,0,193.8103901
Player 10 11/03/17,5,111.4222926
Player 10 11/03/17,10,77.02764554
Player 10 11/03/17,15,64.46037268
Player 10 11/03/17,20,105.3022796
Player 10 11/03/17,25,54.81365011
Player 10 11/03/17,30,91.36393712
Player 10 11/03/17,35,180.0436065
Player 10 11/03/17,40,96.24106384
Player 10 11/03/17,45,268.6888066
Player 10 11/03/17,50,120.8610962
Player 10 11/03/17,55,38.13069379
Player 10 11/03/17,60,58.39154532
Player 10 11/03/17,65,90.85487923
Player 10 11/03/17,70,117.5677391
Player 10 11/03/17,75,3.954231731
Player 10 11/03/17,90,0.087393604
Player 11 11/03/17,35,1.264691998
Player 11 11/03/17,55,1.77E+00
Player 11 11/03/17,70,30.17528263
Player 11 11/03/17,75,19.54545694
Player 13 11/03/17,0,33.61442195
Player 13 11/03/17,5,53.4210338
Player 13 11/03/17,10,53.2963067
Player 13 11/03/17,15,27.3133637
Player 13 11/03/17,20,76.65666189
Player 13 11/03/17,25,111.1514381
Player 13 11/03/17,30,44.59760091
Player 13 11/03/17,35,68.66808918
Player 13 11/03/17,40,36.25068773
Player 13 11/03/17,45,71.54359728
Player 13 11/03/17,50,39.68009474
Player 13 11/03/17,55,54.15987721
Player 13 11/03/17,60,37.2736269
Player 13 11/03/17,65,17.18613864
Player 13 11/03/17,70,25.40449371
Player 13 11/03/17,75,20.49853048
Player 13 11/03/17,80,93.95518171
Player 13 11/03/17,85,44.73086908
Player 13 11/03/17,90,18.41076703
Player 14 11/03/17,0,78.29098904
Player 14 11/03/17,5,113.1843068
Player 14 11/03/17,10,69.53866117
Player 14 11/03/17,15,82.26667968
Player 14 11/03/17,20,155.2209205
Player 14 11/03/17,25,48.57478049
Player 14 11/03/17,30,82.01110321
Player 14 11/03/17,35,79.04314229
Player 14 11/03/17,40,70.61191184
Player 14 11/03/17,45,96.74035474
Player 14 11/03/17,50,114.7965554
Player 14 11/03/17,55,51.28076697
Player 14 11/03/17,60,133.6075052
Player 14 11/03/17,65,42.54883108
Player 14 11/03/17,70,66.4476568
Player 14 11/03/17,75,89.51317614
Player 14 11/03/17,80,104.4782487
Player 14 11/03/17,85,143.0170093
Player 14 11/03/17,90,50.43484928
Player 15 11/03/17,0,125.9879824
Player 15 11/03/17,5,70.27042415
Player 15 11/03/17,10,102.1463015
Player 15 11/03/17,15,19.26376755
Player 15 11/03/17,20,54.2076535
Player 15 11/03/17,25,33.69502306
Player 15 11/03/17,30,81.09250557
Player 15 11/03/17,35,88.16419626
Player 15 11/03/17,40,84.71478761
Player 15 11/03/17,45,90.46947244
Player 15 11/03/17,50,31.96792672
Player 15 11/03/17,55,52.33244769
Player 15 11/03/17,60,32.97467213
Player 15 11/03/17,65,41.8085032
Player 15 11/03/17,70,85.96844576
Player 15 11/03/17,75,46.436612
Player 15 11/03/17,80,24.57928192
Player 15 11/03/17,85,48.77566102
Player 15 11/03/17,90,18.46668869
Player 2 11/03/17,0,26.1398345
Player 2 11/03/17,5,55.06586949
Player 2 11/03/17,10,12.47941638
Player 2 11/03/17,15,17.46710357
Player 2 11/03/17,20,62.94145538
Player 2 11/03/17,25,57.69660413
Player 2 11/03/17,30,14.27775144
Player 2 11/03/17,35,56.87875646
Player 2 11/03/17,40,34.9179248
Player 2 11/03/17,45,11.01300205
Player 2 11/03/17,50,23.81948198
Player 2 11/03/17,55,16.71549173
Player 2 11/03/17,60,35.10235093
Player 2 11/03/17,65,42.9326342
Player 2 11/03/17,70,20.81953787
Player 2 11/03/17,75,41.93076388
Player 2 11/03/17,80,74.93752293
Player 2 11/03/17,85,77.60694254
Player 2 11/03/17,90,12.51693548
Player 4 11/03/17,55,0.190780916
Player 4 11/03/17,60,0.014088697
Player 4 11/03/17,65,0.087600172
Player 5 11/03/17,0,93.7563745
Player 5 11/03/17,5,95.94754803
Player 5 11/03/17,10,25.1602592
Player 5 11/03/17,15,38.38809239
Player 5 11/03/17,20,56.5482271
Player 5 11/03/17,25,48.96679863
Player 5 11/03/17,30,61.79943064
Player 5 11/03/17,35,74.595816
Player 5 11/03/17,40,41.15774192
Player 5 11/03/17,45,82.77078096
Player 5 11/03/17,50,35.3315198
Player 5 11/03/17,55,29.72889177
Player 5 11/03/17,60,46.86339625
Player 5 11/03/17,65,49.79193881
Player 5 11/03/17,70,28.94063902
Player 5 11/03/17,75,58.68108072
Player 5 11/03/17,80,71.08398839
Player 5 11/03/17,85,82.9891339
Player 5 11/03/17,90,21.62430384
Player 6 11/03/17,5,0.012562929
Player 6 11/03/17,25,5.677821747
