Category,Team-18,1-18,2-18,3-18,4-18,5-18,6-18,7-18,8-18,9-18,10-18,11-18,12-18,13-18,14-18,15-18,Team-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0,11-0,12-0,13-0,14-0,15-0,Team-6,1-6,2-6,3-6,4-6,5-6,6-6,7-6,8-6,9-6,10-6,11-6,12-6,13-6,14-6,15-6,Team-12,1-12,2-12,3-12,4-12,5-12,6-12,7-12,8-12,9-12,10-12,11-12,12-12,13-12,14-12,15-12
Dist in km,118.32,5.68,11.16,0,0.07,12.55,6.74,8.97,11.43,11.76,11.17,1.59,0,11.88,13,12.32,62.38,2.25,6.91,0,0.03,6.74,3.04,4.52,6.4,6.3,5.08,1.11,0,7.01,6.38,6.61,41.76,2.32,3.51,0,0.01,4.55,2.53,3.23,3.62,4.13,4.35,0.43,0,3.91,4.95,4.23,14.18,1.11,0.74,0,0.03,1.27,1.17,1.22,1.4,1.33,1.74,0.06,0,0.97,1.67,1.48
Max Speed in m/s,11.31,10.32,9.77,2.32,10.35,8.59,8.55,10.56,9.26,10.21,11.31,6.89,0,11.07,8.86,9.37,3,3,3,2.32,3,3,3,3,3,3,3,3,0,3,3,3,5,5,5,0,4.93,5,5,5,5,5,5,4.99,0,5,5,5,11.31,10.32,9.77,0,10.35,8.59,8.55,10.56,9.26,10.21,11.31,6.89,0,11.07,8.86,9.37
Avg Speed in m/s,1.86,2.54,1.94,0.08,0.2,2.19,1.99,2.13,2.11,2.07,2.37,1.22,0,2.07,2.26,2.15,1.24,1.55,1.48,0.08,0.08,1.56,1.2,1.44,1.51,1.45,1.55,0.94,0,1.55,1.53,1.52,3.77,3.86,3.7,0,3.73,3.78,3.79,3.77,3.75,3.77,3.83,3.63,0,3.74,3.81,3.74,5.92,6.03,5.75,0,7.74,5.73,5.95,5.97,6.11,5.96,5.93,5.61,0,5.83,5.78,6.02
